,url,address,title,area,rooms,bathrooms,garages,price,date
55,vivareal.com/imovel/apartamento-4-quartos-balneario-bairros-florianopolis-com-garagem-125m2-venda-RS790000-id-2491950779/?__vt=lnv:c,"Rua Osvaldo Cruz, 345 - Balneário, Florianópolis - SC","Apartamento com 4 Quartos à Venda, 125m²
",125,4,3,2,790000,2020-11-14 
56,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-207m2-venda-RS900000-id-2482566281/?__vt=lnv:c,"Rua Vereador Batista Pereira, 523 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 207m²
",207,3,2,2,900000,2020-11-14 
57,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-75m2-venda-RS259000-id-2485579986/?__vt=lnv:c,"Rua Osvaldo Cruz, 523 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 75m²
",75,2,1,1,259000,2020-11-14 
59,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-146m2-venda-RS595000-id-2497468092/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 146m²
",146,3,3,1,595000,2020-11-14 
60,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-220m2-venda-RS650000-id-2486881409/?__vt=lnv:c,"Rua Coronel Pedro Demoro - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 220m²
",220,3,2,2,650000,2020-11-14 
61,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-76m2-venda-RS320000-id-2494426776/?__vt=lnv:c,"Rua Professor João José Cabral, 207 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 76m²
",76,2,1,1,320000,2020-11-14 
62,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-115m2-venda-RS760000-id-2483183974/?__vt=lnv:c,"Rua Sérgio Gil, 133 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 115m²
",115,3,3,2,760000,2020-11-14 
63,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-92m2-venda-RS902272-id-2456238368/?__vt=lnv:c,"Praça Guilherme Fortkamp, 263 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 92m²
",92,3,2,2,902272,2020-11-14 
64,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-79m2-venda-RS447000-id-2501033182/?__vt=lnv:c,"Rua da Concórdia, 76 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 79m²
",79,3,2,1,447000,2020-11-14 
66,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-100m2-venda-RS935940-id-2456239578/?__vt=lnv:c,"Praça Guilherme Fortkamp, 263 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 100m²
",100,3,2,2,935940,2020-11-14 
67,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-82m2-venda-RS460000-id-2499742986/?__vt=lnv:c,"Rua Vereador Batista Pereira, 641 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 82m²
",82,2,1,2,460000,2020-11-14 
68,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-124m2-venda-RS1000000-id-2488813089/?__vt=lnv:c,"Rua Sérgio Gil - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 124m²
",124,3,3,2,1000000,2020-11-14 
69,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-98m2-venda-RS450000-id-2475435504/?__vt=lnv:c,"Rua José Cândido da Silva, 126 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 98m²
",98,2,2,1,450000,2020-11-14 
70,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-75m2-venda-RS259000-id-2500124082/?__vt=lnv:c,"Rua Osvaldo Cruz, 137 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 75m²
",75,2,1,1,259000,2020-11-14 
71,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-135m2-venda-RS950000-id-2499537018/?__vt=lnv:c,"Rua Antônio Mattos Areas - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 135m²
",135,3,3,2,950000,2020-11-14 
72,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-78m2-venda-RS668980-id-2474205411/?__vt=lnv:c,"Rua Sérgio Gil, 263 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 78m²
",78,2,2,1,668980,2020-11-14 
74,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-78m2-venda-RS660000-id-2491154143/?__vt=lnv:c,"Praça Guilherme Fortkamp - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 78m²
",78,2,2,1,660000,2020-11-14 
75,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-74m2-venda-RS622260-id-2483603457/?__vt=lnv:c,"Avenida Santa Catarina, 1190 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 74m²
",74,2,2,1,622260,2020-11-14 
76,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-75m2-venda-RS350000-id-2501513124/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 75m²
",75,2,2,1,350000,2020-11-14 
77,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-120m2-venda-RS690000-id-2497438499/?__vt=lnv:c,"Rua São Pedro, 422 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 120m²
",120,3,1,2,690000,2020-11-14 
78,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-93m2-venda-RS689989-id-2494780644/?__vt=lnv:c,"Avenida Santa Catarina, 1660 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 93m²
",93,3,2,2,689989,2020-11-14 
79,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-189m2-venda-RS2850000-id-2487268286/?__vt=lnv:c,"Rua dos Navegantes - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 189m²
",189,3,3,4,2850000,2020-11-14 
81,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-94m2-venda-RS654762-id-2483605173/?__vt=lnv:c,"Avenida Santa Catarina, 1000 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 94m²
",94,2,2,2,654762,2020-11-14 
82,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-79m2-venda-RS569000-id-2483301185/?__vt=lnv:c,"Rua José Cândido da Silva, 98 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 79m²
",79,2,2,1,569000,2020-11-14 
83,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-125m2-venda-RS1720000-id-2491115066/?__vt=lnv:c,"Rua dos Navegantes, 225 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 125m²
",125,3,4,3,1720000,2020-11-14 
84,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-80m2-venda-RS753913-id-2483603456/?__vt=lnv:c,"Avenida Santa Catarina, 1190 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 80m²
",80,2,2,2,753913,2020-11-14 
85,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-98m2-venda-RS470000-id-2458878159/?__vt=lnv:c,"Rua São José, 111 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 98m²
",98,3,2,1,470000,2020-11-14 
86,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-88m2-venda-RS380000-id-2497644106/?__vt=lnv:c,"Rua São Pedro - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 88m²
",88,2,2,--,380000,2020-11-14 
88,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-92m2-venda-RS500000-id-2493499221/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 92m²
",92,3,2,2,500000,2020-11-14 
89,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-160m2-venda-RS980000-id-2464640389/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 160m²
",160,3,3,2,980000,2020-11-14 
90,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-75m2-venda-RS470000-id-2456838912/?__vt=lnv:c,"Rua Coronel Pedro Demoro, 1841 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 75m²
",75,2,2,2,470000,2020-11-14 
91,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-92m2-venda-RS847780-id-2485835119/?__vt=lnv:c,"Praça Guilherme Fortkamp, 263 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 92m²
",92,3,2,1,847780,2020-11-14 
92,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-78m2-venda-RS447000-id-2496910089/?__vt=lnv:c,"Rua da Concórdia, 76 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 78m²
",78,3,2,1,447000,2020-11-14 
93,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-80m2-venda-RS560000-id-2499949578/?__vt=lnv:c,"Rua José Cândido da Silva - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 80m²
",80,2,2,1,560000,2020-11-14 
